number,value,datetime_start,datetime_complete,duration,params_bias_mutate_power,params_conn_add_prob,params_conn_delete_prob,params_node_add_prob,params_node_delete_prob,params_num_hidden,params_pop_size,params_single_structural_mutation,params_weight_mutate_power,state
0,23.0,2020-06-21 21:29:20.468418,2020-06-21 21:29:24.602176,0 days 00:00:04.133758000,0.544526735269805,0.25877793974033636,0.20764299325179858,0.2836525825079189,0.25275013306332983,0,61,False,0.015943259326843765,COMPLETE
1,18.0,2020-06-21 21:29:24.603173,2020-06-21 21:29:28.740127,0 days 00:00:04.136954000,0.055480551506131494,0.5902749108902046,0.09424875608954762,0.329214278870373,0.0913466132746778,0,64,False,0.046327590509129137,COMPLETE
2,52.0,2020-06-21 21:29:28.741125,2020-06-21 21:29:34.406857,0 days 00:00:05.665732000,0.1254359372112153,0.2800740376804747,0.5034146304709387,0.25327217733313434,0.44772387139718084,0,81,True,0.06539783255275458,COMPLETE
3,201.0,2020-06-21 21:29:34.407854,2020-06-21 21:29:50.208017,0 days 00:00:15.800163000,0.04163833005472511,0.16096308436125922,0.3508448459027712,0.3133793006385004,0.3360369558702735,0,93,True,1.734471287701654,COMPLETE
4,201.0,2020-06-21 21:29:50.209014,2020-06-21 21:29:56.047486,0 days 00:00:05.838472000,0.03534383538475289,0.07052222970591089,0.5480903244691926,0.20467827456596238,0.3405606509973641,0,20,False,0.002239239763183208,COMPLETE
5,201.0,2020-06-21 21:29:56.048484,2020-06-21 21:30:12.021137,0 days 00:00:15.972653000,0.0019427486366499578,0.12324420030689416,0.14292878560245184,0.4798945740026947,0.46706810930169795,0,81,True,2.9745053077578665,COMPLETE
6,38.0,2020-06-21 21:30:12.022134,2020-06-21 21:30:17.179730,0 days 00:00:05.157596000,0.03805176333387419,0.48326597254139797,0.03999961323815984,0.017093438289103483,0.31108297133602103,0,78,True,0.06419448970566664,COMPLETE
7,201.0,2020-06-21 21:30:17.180728,2020-06-21 21:30:26.458858,0 days 00:00:09.278130000,0.03585470734753834,0.18545251624132036,0.40074105627744944,0.07571654231495363,0.5050434898819983,0,54,True,0.4086919632071343,COMPLETE
8,85.0,2020-06-21 21:30:26.459855,2020-06-21 21:30:32.155712,0 days 00:00:05.695857000,0.23900157917816647,0.1864484463784413,0.30985931969891706,0.3099627386519657,0.25027308223534045,0,42,False,0.0022593391724108377,COMPLETE
9,201.0,2020-06-21 21:30:32.157707,2020-06-21 21:30:42.273020,0 days 00:00:10.115313000,3.963917085948807,0.4663725058763264,0.39375073342305256,0.38519576664912863,0.4342341572985226,0,46,False,0.743037273397877,COMPLETE
0,24.0,2020-06-21 21:30:42.389120,2020-06-21 21:30:47.076352,0 days 00:00:04.687232000,0.0018434591038945442,0.3478223148054603,0.5767049829599236,0.2417504930136669,0.40362316767064726,0,90,False,0.0011795844023406578,COMPLETE
1,49.0,2020-06-21 21:30:47.078347,2020-06-21 21:30:52.791937,0 days 00:00:05.713590000,1.2538575063912871,0.41124275811338157,0.2930526857477865,0.11914895321467922,0.486945207837807,0,79,True,0.004235979932074274,COMPLETE
2,12.0,2020-06-21 21:30:52.792935,2020-06-21 21:30:56.731668,0 days 00:00:03.938733000,0.0703489176081485,0.5753875789397475,0.3183889362444319,0.2128734189525615,0.3884444685211011,0,54,False,0.003792666345076951,COMPLETE
3,94.0,2020-06-21 21:30:56.732666,2020-06-21 21:31:04.030210,0 days 00:00:07.297544000,0.7754290039614878,0.11224545002811734,0.41638267679976315,0.4499906710361508,0.14732548561960893,0,62,True,0.24801327769404674,COMPLETE
4,29.0,2020-06-21 21:31:04.031207,2020-06-21 21:31:08.998756,0 days 00:00:04.967549000,0.0012893990635750707,0.35888377990394876,0.4493144082713178,0.43229943911247803,0.32379300132152244,0,71,True,0.11520063067721842,COMPLETE
5,201.0,2020-06-21 21:31:09.000751,2020-06-21 21:31:17.512584,0 days 00:00:08.511833000,0.07293992051967789,0.054918052187345114,0.2481534011244055,0.23352408675165875,0.24243414411395106,0,38,True,0.4925312515830172,COMPLETE
6,201.0,2020-06-21 21:31:17.513581,2020-06-21 21:31:39.680878,0 days 00:00:22.167297000,0.5659512630006484,0.4620239596527726,0.02163287312147344,0.41867532338387947,0.5368345225391096,0,98,True,2.5696458984787447,COMPLETE
7,201.0,2020-06-21 21:31:39.681875,2020-06-21 21:31:46.792165,0 days 00:00:07.110290000,3.9106261316686313,0.023452519012808037,0.4090386958059355,0.23803054043417446,0.27142164017005355,0,21,True,0.2732923801680886,COMPLETE
8,60.0,2020-06-21 21:31:46.794160,2020-06-21 21:31:54.546204,0 days 00:00:07.752044000,0.009104242026003743,0.3427594448652591,0.41597378547531494,0.5431669687443416,0.1634267344987578,0,91,True,2.3506344050116037,COMPLETE
9,26.0,2020-06-21 21:31:54.548199,2020-06-21 21:31:59.299980,0 days 00:00:04.751781000,0.5133893547016087,0.5283472821977531,0.05391340773624699,0.09236501973659413,0.15555165727491535,0,81,True,0.1511557494720281,COMPLETE
0,61.0,2020-06-21 21:31:59.324915,2020-06-21 21:32:05.406716,0 days 00:00:06.081801000,0.004368409495060498,0.5389350515945599,0.10984762262388027,0.33454406040246654,0.018671083249130565,0,63,True,0.008514969839678869,COMPLETE
1,201.0,2020-06-21 21:32:05.407713,2020-06-21 21:32:25.256941,0 days 00:00:19.849228000,3.438884573258869,0.11722826968024289,0.28334972979039463,0.504216468071413,0.4633853704093975,0,89,True,1.3425245056238144,COMPLETE
2,201.0,2020-06-21 21:32:25.258936,2020-06-21 21:32:48.105254,0 days 00:00:22.846318000,7.940273846097157,0.07316419541859213,0.13692933153182385,0.523562897024828,0.3955770518102419,0,69,False,0.7591189786804634,COMPLETE
3,36.0,2020-06-21 21:32:48.106251,2020-06-21 21:32:53.098013,0 days 00:00:04.991762000,0.16460055466342557,0.39135053364165573,0.4123482196942764,0.5456819169473145,0.49228265140658883,0,72,False,0.037026323205732736,COMPLETE
4,31.0,2020-06-21 21:32:53.099010,2020-06-21 21:32:57.669335,0 days 00:00:04.570325000,0.001280287113762142,0.4890809538934351,0.11413959911927123,0.5380782400279845,0.5842981514790472,0,60,False,0.01739292347675799,COMPLETE
5,47.0,2020-06-21 21:32:57.671304,2020-06-21 21:33:03.620970,0 days 00:00:05.949666000,0.015280330297531088,0.3774220805407934,0.5390202429937561,0.48169340776763653,0.2670272218397435,0,81,True,0.1520615328233393,COMPLETE
6,201.0,2020-06-21 21:33:03.622964,2020-06-21 21:34:40.726926,0 days 00:01:37.103962000,9.7966630066434,0.014987197174527022,0.2955003439197916,0.4653105266446596,0.3585444658411438,0,37,False,0.43607831215938525,COMPLETE
7,17.0,2020-06-21 21:34:40.728922,2020-06-21 21:34:44.689086,0 days 00:00:03.960164000,0.001628553095713192,0.4910308009502986,0.325584159400054,0.08111045030002492,0.23273581994697273,0,65,False,0.015969775217375456,COMPLETE
8,17.0,2020-06-21 21:34:44.691085,2020-06-21 21:34:48.338892,0 days 00:00:03.647807000,0.3341000220077099,0.0395104836514332,0.08651653848802883,0.4681071722388812,0.3983010145801931,0,24,False,0.028427698885174008,COMPLETE
